"GOOG",586.86,"8/19/2014","4:00pm",+4.70,585.00,587.34,584.00,979265
"YHOO",37.83,"8/19/2014","4:00pm",+0.45,37.58,37.94,37.50,17087234
"AOL",43.77,"8/19/2014","4:04pm",+0.20,43.56,43.96,43.48,583650
